symbol,exchange,tv_spec,name,screen_latest_adj_close
AMAT,NASDAQ,NASDAQ:AMAT,Applied Materials Inc. Common Stock,567.25
GH,NASDAQ,NASDAQ:GH,Guardant Health Inc. Common Stock,131.6199951171875
TNGX,NASDAQ,NASDAQ:TNGX,Tango Therapeutics Inc.,30.940000534057617
WING,NASDAQ,NASDAQ:WING,Wingstop Inc. Common Stock,162.2899932861328
TRIP,NASDAQ,NASDAQ:TRIP,TripAdvisor Inc. Common Stock,12.40999984741211
UCTT,NASDAQ,NASDAQ:UCTT,Ultra Clean Holdings Inc. Common Stock,108.9000015258789
AGYS,NASDAQ,NASDAQ:AGYS,Agilysys Inc. Common Stock (DE),90.63999938964844
RDW,NYSE,NYSE:RDW,Redwire Corporation Common Stock,15.119999885559082
GGAL,NASDAQ,NASDAQ:GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,55.15999984741211
FRMI,NASDAQ,NASDAQ:FRMI,Fermi Inc. Common Stock,7.139999866485596
AEVA,NASDAQ,NASDAQ:AEVA,Aeva Technologies Inc. Common Stock,24.88999938964844
MRCY,NASDAQ,NASDAQ:MRCY,Mercury Systems Inc Common Stock,120.3000030517578
VAC,NYSE,NYSE:VAC,Marriott Vacations Worldwide Corporation Common Stock,93.37999725341795
BROS,NYSE,NYSE:BROS,Dutch Bros Inc. Class A Common Stock,65.88999938964844
NBIS,NASDAQ,NASDAQ:NBIS,Nebius Group N.V. Class A Ordinary Shares,232.36000061035156
PANW,NASDAQ,NASDAQ:PANW,Palo Alto Networks Inc. Common Stock,279.6199951171875
HROW,NASDAQ,NASDAQ:HROW,Harrow Inc. Common Stock,37.63999938964844
VVX,NYSE,NYSE:VVX,V2X Inc. Common Stock,90.80999755859376
CRI,NYSE,NYSE:CRI,Carter's Inc. Common Stock,42.790000915527344
ADPT,NASDAQ,NASDAQ:ADPT,Adaptive Biotechnologies Corporation Common Stock,17.600000381469727
CNK,NYSE,NYSE:CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,33.79999923706055
CMPS,NASDAQ,NASDAQ:CMPS,COMPASS Pathways Plc American Depository Shares,12.079999923706056
WERN,NASDAQ,NASDAQ:WERN,Werner Enterprises Inc. Common Stock,43.959999084472656
ODFL,NASDAQ,NASDAQ:ODFL,Old Dominion Freight Line Inc. Common Stock,245.75
AMRX,NASDAQ,NASDAQ:AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,16.200000762939453
FTNT,NASDAQ,NASDAQ:FTNT,Fortinet Inc. Common Stock,146.3000030517578
BIRK,NYSE,NYSE:BIRK,Birkenstock Holding plc Ordinary Shares,48.75
